DATE,avg_sell_price_tick,price_high_b,avg_sell_price_wrds,avg_price_m,avg_buy_price_Retail,price_high_m,avg_buy_price_Inst20k,avg_buy_price_Inst50k,avg_buy_price_LR,BestBidDepth_Share_tw
2020-05-08,213.09049442,215.83,213.07983292,213.09849017,213.05521307,215.245,213.14697801,213.16364845,213.13103875,155.54007987
2020-05-11,217.80009994,214.3,217.75827889,217.83697251,217.81935839,219.53,217.90304809,217.71091438,217.9071423,147.67619499
2020-05-12,216.7859581,220.0,216.79968386,216.78948381,217.13349586,219.46,216.66942768,216.68999211,216.75827546,157.76732649
2020-05-13,214.46316817,219.1,214.42407258,214.49333646,214.13501107,221.9,214.73498951,215.23066948,214.61323302,131.54782911
2020-05-14,217.31203362,215.3,217.31125996,217.29676982,217.32816555,219.64,217.19499156,217.29636575,217.2843856,138.54274492
2020-05-15,221.89733496,219.5,221.88067747,221.9588002,221.89376475,223.97,221.90862545,221.52757143,222.0120871,137.32562907
2020-05-18,226.74962756,228.0,226.72775761,226.75707292,226.70552787,231.82,226.90280712,226.98683109,226.7745268,150.32136093
2020-05-19,229.84764873,229.49,229.88484984,229.85475642,230.06345156,232.47,229.68757489,229.44614739,229.81622919,130.59268189
2020-05-20,233.23406972,231.13,233.21926993,233.25917929,233.13672294,234.755,233.27024683,233.16903607,233.30240213,170.6835509
2020-05-21,234.06243501,237.46,233.83791,231.87581798,231.88227061,237.67,232.0186906,232.47006364,231.9195224,133.93352779
2020-05-22,237.21585575,247.6,237.18475668,237.09940418,236.94294595,243.18,237.12636935,237.36095188,237.13801616,145.34102076
2020-05-26,235.27418041,243.15,235.26718085,235.22160045,235.89289333,241.26,235.20282052,236.10954348,235.17907975,144.17249138
2020-05-27,228.24307999,233.5,228.24446172,228.2267491,228.09775699,232.19,228.34455563,229.04461749,228.23985144,152.93564297
2020-05-28,231.25971063,232.99,231.29088735,231.29524119,231.48792888,233.24,231.13694406,231.28226159,231.28642489,131.47854373
2020-05-29,232.40189382,230.866,232.37781396,232.45040724,232.18743913,235.695,232.58468486,232.10461144,232.53128296,140.66654295
2020-06-01,237.33722848,237.0,237.36108836,237.30428417,237.3070446,239.45,237.12054181,237.40965811,237.22856179,147.90204197
2020-06-02,238.39458816,240.9,238.39084937,238.42034745,238.19970129,239.955,238.50896511,238.57481176,238.45469424,152.71451339
2020-06-03,236.12075181,241.5,236.12484061,236.18661827,236.5692642,240.9,235.9772138,236.07064182,236.23615039,156.74405249
2020-06-04,227.77472346,233.41,227.75710552,227.85963385,227.89491617,231.92,228.02997662,228.3686007,227.91496258,162.58481168
2020-06-05,230.05488567,229.71,230.00090079,230.07665676,229.9714039,232.45,230.14870972,229.912,230.13940207,158.0722033
2020-06-08,234.63046692,231.7323,234.63641995,234.73391776,234.42135937,237.93,234.76560753,234.62932448,234.83869179,202.77070689
2020-06-09,235.67659006,238.0,235.69133293,235.70845728,235.86170174,238.49,235.80346046,236.10540429,235.7100493,160.8413137
2020-06-10,234.33073352,236.0,234.35448363,234.38798022,234.44531294,237.93,234.44039693,234.55683434,234.40955796,141.33403054
2020-06-11,224.81888841,230.66,224.78207867,224.90629672,225.32939911,231.2,225.21807982,225.93529911,225.0483979,157.69832068
2020-06-12,222.01210164,226.9,221.94950454,222.01874201,222.39401771,228.39,222.31383251,222.35988898,222.10875958,155.53309812
2020-06-15,224.10137581,221.0,224.07524543,224.15757465,223.80511748,227.1308,224.08217075,223.21861212,224.22590104,151.49988039
